Date,Price,Open,High,Low
2017-02-23,27903,28125,28348,27865
2017-02-24,27791,28051,28088,27680
2017-02-27,28348,27606,28459,27606
2017-02-28,27754,28348,28348,27754
2017-03-01,27643,26418,27828,26418
2017-03-02,28719,29312,29312,28719
2017-03-03,27828,27606,27903,27383
2017-03-04,27012,27383,27494,26938
2017-03-05,26344,26047,26715,26010
2017-03-07,28867,28570,29053,28496
2017-03-08,28422,28422,28496,28274
2017-03-10,28507,28659,28735,28432
2017-03-11,31768,31389,31768,30934
2017-03-13,27494,27531,27754,27494
2017-03-14,27494,27494,27754,27494
2017-03-15,27420,27643,27643,27420
2017-03-16,27531,27457,27643,27420
2017-03-17,27457,27531,27865,27420
2017-03-20,27865,27754,28125,27754
2017-03-21,28199,28125,28199,27903
2017-03-22,27977,28199,28459,27903
2017-03-23,28385,27977,28570,27903
2017-03-24,28199,28570,28608,28014
2017-03-27,28051,28199,28496,28014
2017-03-28,27754,28051,28236,27717
2017-03-29,27680,27643,27828,27569
2017-03-30,27606,27680,27903,27606
2017-03-31,27383,27606,27754,27383
2017-04-01,27457,27828,27903,27309
2017-04-04,27309,27086,27531,27049
2017-04-05,26938,26344,27160,26270
2017-04-07,28719,28941,28941,28570
2017-04-08,28236,28422,28496,28125
2017-04-10,29417,28432,29569,28432
2017-04-12,37454,36772,37454,36620
2017-04-13,27272,27198,27569,27198
2017-04-14,26975,27235,27272,26715
2017-04-17,26344,26975,27049,26344
2017-04-18,26604,26344,26604,26270
2017-04-19,26641,26567,26789,26493
2017-04-20,26270,26641,26641,26270
2017-04-21,26344,26270,26641,26270
2017-04-24,26047,26344,26530,26047
2017-04-25,26047,26047,26196,25936
2017-04-26,26010,26047,26122,25973
2017-04-27,25862,26122,26196,25750
2017-04-28,26047,25825,26159,25788
2017-05-01,27569,27383,27680,27346
2017-05-04,27346,27309,27680,27309
2017-05-05,26789,26938,26938,26641
2017-05-06,27606,27012,27680,26975
2017-05-07,28830,28941,28941,28533
2017-05-09,28311,27754,28422,27569
2017-05-10,29341,29721,30327,29341
2017-05-12,36468,37151,37909,36468
2017-05-15,26938,27012,27086,26826
2017-05-16,26752,26789,27012,26715
2017-05-17,26864,26715,26975,26715
2017-05-18,26975,26789,27123,26789
2017-05-19,27272,27012,27272,26938
2017-05-22,27828,27531,28348,27272
2017-05-23,27606,27828,27977,27606
2017-05-24,28014,27569,28236,27494
2017-05-25,27531,28051,28088,27531
2017-05-26,27235,27494,27643,27235
2017-05-29,27012,27531,27754,27012
2017-05-30,26938,27235,27235,26864
2017-05-31,26864,27235,27235,26567
2017-06-01,28125,27606,28496,27531
2017-06-02,28719,28719,28867,28496
2017-06-03,27680,28199,28199,27680
2017-06-06,28682,27680,28682,27606
2017-06-07,29201,28793,29312,28793
2017-06-09,28199,28199,28311,28014
2017-06-10,29607,29341,29683,29304
2017-06-11,32223,31843,32526,31692
2017-06-12,36392,36392,36620,35710
2017-06-13,28608,28236,28682,28199
2017-06-14,29090,28608,29238,28608
2017-06-15,29312,29090,29387,28979
2017-06-16,29312,29572,29572,29127
2017-06-19,29461,29572,29684,29238
2017-06-20,29312,29535,29535,29164
2017-06-21,28682,29164,29201,28199
2017-06-22,28274,28719,28756,28274
2017-06-23,28274,28236,28348,28014
2017-06-26,28570,28422,28645,28311
2017-06-27,28385,28793,28830,28385
2017-06-28,28236,28385,28422,28088
2017-06-29,28348,28422,28459,28125
2017-06-30,28570,28422,28645,28274
2017-07-02,29127,28793,29127,28756
2017-07-03,27828,27828,27828,27531
2017-07-04,27309,27160,27383,27160
2017-07-06,28422,28719,28830,28348
2017-07-07,28719,29312,29424,28719
2017-07-08,28236,28274,28385,28199
2017-07-09,27977,28199,28199,27977
2017-07-11,32185,32223,32488,31843
2017-07-12,36089,36392,36392,35407
2017-07-13,28348,28570,28570,28199
2017-07-14,28385,28348,28459,28236
2017-07-17,27977,28385,28459,27977
2017-07-18,28014,27903,28199,27865
2017-07-19,27903,28051,28162,27828
2017-07-20,27791,27828,27903,27531
2017-07-21,27457,27903,27977,27457
2017-07-24,27680,27457,27680,27198
2017-07-25,27680,27606,27717,27383
2017-07-26,27754,27791,27903,27606
2017-07-27,27717,27754,27865,27717
2017-07-28,27828,27717,28051,27680
2017-07-31,28014,27828,28125,27828
2017-08-02,29498,29238,29535,29016
2017-08-03,27977,27680,28348,27680
2017-08-05,26530,26789,26938,26493
2017-08-06,28125,28348,28422,28051
2017-08-08,28496,28236,28904,28236
2017-08-09,27977,28199,28274,27940
2017-08-11,33057,32185,33360,31995
2017-08-12,35672,36089,36089,35255
2017-08-14,27940,27791,28051,27791
2017-08-15,27680,27903,27977,27680
2017-08-16,27828,27680,27865,27643
2017-08-17,27680,27828,27865,27569
2017-08-18,27828,27680,28051,27569
2017-08-21,27754,27828,27903,27680
2017-08-22,27383,27828,27828,27383
2017-08-23,27457,27457,27531,27235
2017-08-24,27494,27569,27791,27383
2017-08-25,27569,27494,27754,27494
2017-08-28,27791,27569,27791,27531
2017-08-29,27457,27791,27828,27457
2017-08-30,27457,27457,27680,27383
2017-08-31,27531,27383,27791,27346
2017-09-01,28719,28348,28904,28274
2017-09-02,29461,29572,29609,29312
2017-09-03,28051,28162,28496,28051
2017-09-05,27049,26530,27160,26455
2017-09-06,28496,28274,28645,28125
2017-09-08,28051,28496,28608,27828
2017-09-10,29872,29834,30062,29683
2017-09-11,32677,33208,33360,32677
2017-09-13,28236,28496,28496,28125
2017-09-14,28422,28348,28570,28125
2017-09-15,28199,28422,28496,28125
2017-09-18,27903,28199,28348,27903
2017-09-19,27754,27791,28051,27680
2017-09-20,28051,27791,28348,27791
2017-09-21,28088,28051,28311,28014
2017-09-22,27940,28088,28125,27903
2017-09-25,27828,27940,28014,27791
2017-09-26,27940,27828,27977,27680
2017-09-27,27977,28125,28199,27865
2017-09-28,28242,28204,28394,28128
2017-09-29,28507,28242,28621,28204
2017-10-01,28496,28496,28682,28459
2017-10-02,29164,29424,29424,29164
2017-10-03,27828,28125,28348,27717
2017-10-04,27235,27383,27531,27235
2017-10-05,27272,27049,27457,27049
2017-10-07,28274,28867,29016,28199
2017-10-08,27977,27865,28125,27791
2017-10-10,30062,29872,30251,29721
2017-10-11,32677,32602,33094,32450
2017-10-13,29834,29569,29872,29569
2017-10-16,29607,29910,29948,29531
2017-10-17,31085,29607,31085,29569
