Date,Price,Open,High,Low
17/04/2020,9730,9900,9940,9720
20/04/2020,9550,9700,9850,9540
21/04/2020,8990,9350,9450,8970
22/04/2020,9170,8730,9290,8730
23/04/2020,9150,9350,9380,9150
24/04/2020,9100,9150,9200,9040
27/04/2020,8990,9180,9230,8990
28/04/2020,8980,9080,9120,8940
29/04/2020,9100,9000,9250,9000
4/5/2020,8980,9100,9100,8980
5/5/2020,8970,8980,9090,8930
6/5/2020,9140,9000,9140,8930
7/5/2020,9340,9180,9380,9170
8/5/2020,9520,9400,9770,9400
11/5/2020,9690,9670,9750,9540
12/5/2020,9700,9690,9750,9460
13/05/2020,9960,9700,10150,9550
14/05/2020,10050,9880,10300,9790
15/05/2020,9800,10200,10200,9800
18/05/2020,9730,9780,9850,9680
19/05/2020,9900,9920,10150,9860
20/05/2020,10400,9900,10550,9860
21/05/2020,10500,10500,10550,10250
22/05/2020,10200,10300,10600,10200
25/05/2020,10250,10250,10400,10100
26/05/2020,10400,10300,10450,10300
27/05/2020,10100,10450,10550,10000
28/05/2020,10300,10100,10600,10050
29/05/2020,10300,10200,10450,10200
1/6/2020,10750,10400,10750,10350
2/6/2020,10500,10850,10900,10500
3/6/2020,10650,10600,10700,10500
4/6/2020,10600,10750,10900,10600
5/6/2020,10550,10700,10750,10450
8/6/2020,10700,10700,10850,10650
9/6/2020,10750,10750,10900,10650
10/6/2020,11500,10750,11500,10600
11/6/2020,11050,12150,12300,11050
12/6/2020,11800,11200,11800,11000
15/06/2020,12050,12100,12600,11750
16/06/2020,11900,12500,12500,11900
17/06/2020,11600,11850,11950,11550
18/06/2020,11400,11400,11750,11350
19/06/2020,11900,11550,11950,11400
22/06/2020,11700,12000,12000,11650
23/06/2020,11550,11650,11800,11400
24/06/2020,11200,11600,11650,11200
25/06/2020,11450,11150,11500,10950
26/06/2020,11300,11600,11650,11200
29/06/2020,10950,11300,11300,10900
30/06/2020,10750,11100,11200,10600
1/7/2020,11200,10800,11350,10750
2/7/2020,11050,11200,11300,11000
3/7/2020,11000,11150,11200,11000
6/7/2020,11550,11050,11600,11050
7/7/2020,11450,11600,11700,11400
8/7/2020,11500,11400,11700,11350
9/7/2020,11800,11700,11850,11500
10/7/2020,11550,11700,11800,11500
13/07/2020,11450,11650,11700,11450
14/07/2020,11550,11400,11650,11350
15/07/2020,11550,11650,11700,11550
16/07/2020,11600,11550,11600,11450
17/07/2020,11600,11600,11750,11500
20/07/2020,11450,11650,11700,11450
21/07/2020,11500,11450,11600,11400
22/07/2020,11300,11550,11600,11250
23/07/2020,11250,11350,11400,11100
24/07/2020,10900,11150,11250,10600
27/07/2020,10150,10400,10650,10150
28/07/2020,10550,10200,10600,10100
29/07/2020,10150,10250,10350,9950
30/07/2020,10200,10200,10350,10150
31/07/2020,10100,9900,10250,9900
3/8/2020,10350,10150,10450,10050
4/8/2020,10500,10500,10500,10350
5/8/2020,10650,10500,10700,10400
6/8/2020,10500,10600,10700,10500
7/8/2020,10450,10550,10550,10400
10/8/2020,10600,10550,10800,10550
11/8/2020,10650,10700,10750,10500
12/8/2020,10750,10650,10800,10600
13/08/2020,10850,10750,10900,10750
14/08/2020,10700,10850,10850,10650
17/08/2020,10650,10700,10750,10550
18/08/2020,10750,10650,10800,10600
19/08/2020,10800,10800,10800,10700
20/08/2020,10650,10750,10850,10650
21/08/2020,11050,10700,11050,10650
24/08/2020,11300,11100,11400,11100
25/08/2020,11250,11300,11400,11200
26/08/2020,11200,11250,11300,11100
27/08/2020,11300,11250,11350,11150
28/08/2020,11350,11400,11450,11300
31/08/2020,11200,11500,11550,11200
1/9/2020,11300,11200,11350,11150
3/9/2020,11400,11400,11450,11300
4/9/2020,11300,11250,11350,11200
7/9/2020,11200,11400,11400,11200
8/9/2020,11250,11250,11250,11100
9/9/2020,11300,11150,11300,11050
10/9/2020,11200,11350,11400,11200
11/9/2020,11150,11150,11250,11100
14/09/2020,11300,11200,11350,11200
15/09/2020,11600,11350,11800,11250
16/09/2020,11550,11650,11700,11550
17/09/2020,11450,11550,11700,11450
18/09/2020,11650,11450,11650,11450
21/09/2020,11750,11800,12050,11750
22/09/2020,12550,11750,12550,11650
23/09/2020,12650,12700,13250,12500
24/09/2020,12450,12600,12700,12400
25/09/2020,13300,12450,13300,12400
28/09/2020,13800,13700,14050,13600
29/09/2020,13300,13800,13950,13300
30/09/2020,13800,13300,13900,12950
1/10/2020,13750,14000,14200,13650
2/10/2020,13450,13750,13900,13150
5/10/2020,13700,13650,13800,13400
6/10/2020,14200,13750,14400,13700
7/10/2020,13700,14050,14300,13700
8/10/2020,13550,13800,13850,13450
9/10/2020,13550,13600,13800,13450
12/10/2020,13300,13700,13800,13300
13/10/2020,13450,13300,13600,13200
14/10/2020,13500,13500,13750,13350
15/10/2020,13850,13600,14000,13450
16/10/2020,13750,13850,13950,13700
19/10/2020,14100,13800,14300,13750
20/10/2020,14200,14000,14350,13950
21/10/2020,14400,14350,14750,14300
22/10/2020,14600,14350,14700,14200
23/10/2020,14550,14800,14800,14500
26/10/2020,14100,14500,14650,14100
27/10/2020,13300,14100,14200,13300
28/10/2020,13100,13300,13650,13100
29/10/2020,13500,13000,13500,13000
30/10/2020,13300,13500,13550,13050
2/11/2020,13450,13400,13450,13250
3/11/2020,13600,13500,13700,13450
4/11/2020,13650,13700,13900,13500
5/11/2020,13350,13650,13700,13350
6/11/2020,13350,13500,13500,13250
9/11/2020,13700,13500,13700,13400
10/11/2020,13600,13950,14000,13600
11/11/2020,13600,13700,13700,13450
12/11/2020,13700,13600,13750,13600
13/11/2020,13900,13700,13950,13700
16/11/2020,13650,14050,14100,13650
17/11/2020,13850,13700,13900,13600
18/11/2020,14200,13850,14400,13800
19/11/2020,14200,14200,14400,14050
20/11/2020,14150,14250,14250,14050
23/11/2020,14600,14250,14700,14050
24/11/2020,14500,14600,14650,14200
25/11/2020,14350,14550,14600,14350
26/11/2020,14500,14350,14650,14350
27/11/2020,14500,14600,14600,14350
30/11/2020,14650,14550,15000,14500
1/12/2020,15450,14450,15500,14400
2/12/2020,15400,15450,15800,15150
3/12/2020,15650,15550,15900,15450
4/12/2020,15600,15700,16100,15500
7/12/2020,15550,15600,15750,15550
8/12/2020,15850,15650,15900,15500
9/12/2020,15900,15900,16200,15900
10/12/2020,15550,15950,16050,15450
11/12/2020,15800,15700,15900,15500
14/12/2020,15950,15950,16100,15800
15/12/2020,15950,15850,16050,15800
16/12/2020,16600,16300,16800,16250
17/12/2020,16600,16500,16950,16400
18/12/2020,17000,16800,17150,16650
21/12/2020,17000,17200,17300,16900
22/12/2020,17150,17000,17350,16900
23/12/2020,16700,17200,17300,16700
24/12/2020,16500,16800,16850,15800
25/12/2020,16950,16500,16950,16250
28/12/2020,16750,17050,17100,16550
29/12/2020,16700,16750,16900,16600
30/12/2020,16800,17000,17250,16800
31/12/2020,16900,17000,17000,16750
4/1/2021,17550,17050,17700,16900
5/1/2021,17700,17550,17950,17450
6/1/2021,18000,17900,18350,17700
7/1/2021,18450,18050,18450,17850
8/1/2021,19400,18800,19500,18650
11/1/2021,20100,20000,20400,19800
12/1/2021,19800,19900,20050,19500
13/01/2021,19500,19800,20050,19400
14/01/2021,20100,19650,20250,19000
15/01/2021,21100,20500,21500,20500
18/01/2021,20600,21700,21700,20250
19/01/2021,19200,20350,20450,19200
20/01/2021,19000,19400,19600,17950
21/01/2021,20000,19400,20000,18850
22/01/2021,19950,20000,20200,19700
25/01/2021,19350,19700,19900,19350
26/01/2021,18100,19300,19300,18050
27/01/2021,17250,17800,18650,17000
28/01/2021,16050,16150,16950,16050
29/01/2021,16900,15500,17150,15500
1/2/2021,16100,17000,17450,16100
2/2/2021,17150,16400,17200,16000
3/2/2021,18000,17350,18200,17150
4/2/2021,17600,17900,18150,17550
5/2/2021,18300,17650,18300,17600
8/2/2021,17400,18300,18450,17100
9/2/2021,18150,17500,18200,17100
17/02/2021,18750,18300,18800,18200
18/02/2021,18600,18700,18800,18450
19/02/2021,18700,18400,19000,18250
22/02/2021,18600,18800,19200,18550
23/02/2021,18800,18650,19000,18500
24/02/2021,18350,18950,19150,18300
25/02/2021,18500,18600,18650,18200
26/02/2021,18350,18250,18550,18200
1/3/2021,19100,18600,19150,18500
2/3/2021,19150,19600,19600,19050
3/3/2021,19000,19150,19300,19000
4/3/2021,18350,19050,19150,18300
5/3/2021,18700,18350,18850,18150
8/3/2021,18600,19000,19150,18500
9/3/2021,18550,18500,18700,18300
10/3/2021,18700,18650,18900,18400
11/3/2021,19300,19000,19350,18850
12/3/2021,19200,19400,19500,19000
15/03/2021,18900,19200,19350,18900
16/03/2021,18900,18950,19150,18750
17/03/2021,19600,19000,19750,19000
18/03/2021,19700,19850,19950,19600
19/03/2021,19600,19600,19900,19550
22/03/2021,19200,19700,19700,19150
23/03/2021,18800,19200,19200,18750
24/03/2021,18400,18550,18850,18300
25/03/2021,18750,18600,19050,18450
26/03/2021,18950,18750,19100,18300
29/03/2021,19200,19050,19250,18900
30/03/2021,20500,19250,20500,19000
31/03/2021,21450,21450,21900,21250
1/4/2021,21600,21400,21650,21100
2/4/2021,22600,21900,22950,21800
5/4/2021,23150,23000,23300,22600
6/4/2021,22750,22600,23200,22600
7/4/2021,22300,22300,22600,22100
8/4/2021,22200,22500,22600,22000
9/4/2021,22700,22200,22900,22200
12/4/2021,23450,23000,23850,22750
13/04/2021,22700,23450,23550,22600
14/04/2021,22900,22500,22950,22200
15/04/2021,22350,23000,23000,22200
16/04/2021,22100,22200,22800,21800
19/04/2021,22900,22300,22900,22000
20/04/2021,22500,23000,23150,22300
22/04/2021,21000,22500,22600,21000
23/04/2021,22450,21300,22450,20900
26/04/2021,22550,22900,23200,22450
27/04/2021,23100,22550,23250,22300
28/04/2021,24200,23100,24350,22900
29/04/2021,23900,24250,24600,23850
4/5/2021,24100,23300,24200,23150
5/5/2021,24700,24150,25100,24050
6/5/2021,24400,24550,24900,24300
7/5/2021,24000,24250,24550,23800
10/5/2021,24300,23800,24500,23700
11/5/2021,24650,24450,25450,24450
12/5/2021,26350,24850,26350,24800
13/05/2021,26300,26050,27150,26050
14/05/2021,26400,26600,26850,26150
17/05/2021,25950,26500,26700,25850
18/05/2021,27300,25900,27400,25650
19/05/2021,28500,27300,28700,27300
20/05/2021,29400,28450,29550,28100
21/05/2021,28850,29250,29800,28800
24/05/2021,28900,28850,29250,28800
25/05/2021,29350,28950,29750,28900
26/05/2021,29500,29600,29800,29350
27/05/2021,29800,29550,30300,29000
28/05/2021,31850,30400,31850,30000
31/05/2021,33800,32150,33900,31900
1/6/2021,32400,33500,33550,32350
2/6/2021,32200,31600,32400,31200
3/6/2021,32750,33200,33200,32200
4/6/2021,32150,32200,33000,31800
7/6/2021,30700,31800,32000,30000
8/6/2021,28600,30200,31300,28600
9/6/2021,29600,28500,30350,28000
10/6/2021,28900,29600,30050,28800
11/6/2021,30500,29100,30800,28800
14/06/2021,30800,30700,31300,30400
15/06/2021,30100,30800,30800,29800
16/06/2021,29200,29600,30200,29000
17/06/2021,29400,28550,29650,28550
18/06/2021,29650,29900,30100,29500
21/06/2021,29850,29500,30300,29350
22/06/2021,30200,30150,30750,29850
23/06/2021,29750,30200,30350,29750
24/06/2021,29000,29750,29900,28850
25/06/2021,29500,29000,29500,28900
28/06/2021,30200,29800,30400,29450
29/06/2021,31000,30500,31500,30400
30/06/2021,30600,30950,31400,30500
1/7/2021,31000,30600,31250,30450
2/7/2021,31500,31100,31950,31100
5/7/2021,32600,31600,32600,30900
6/7/2021,30350,32800,33100,30350
7/7/2021,31050,30650,31150,30000
8/7/2021,30200,31000,31300,30100
9/7/2021,29100,30000,30500,29000
12/7/2021,28400,29150,29200,27100
13/07/2021,28700,28800,29000,28050
14/07/2021,27400,28700,28700,27000
15/07/2021,28800,27100,28800,27100
16/07/2021,28450,28900,29100,28400
19/07/2021,27500,27500,27950,26700
20/07/2021,28100,27800,28100,27200
21/07/2021,27850,28300,28400,27800
22/07/2021,28000,27850,28150,27650
23/07/2021,28700,28300,29950,27900
26/07/2021,28700,28900,29300,28350
27/07/2021,29100,29000,29750,28700
28/07/2021,28900,28900,29450,28700
29/07/2021,29300,29100,29400,29000
30/07/2021,29900,29400,30350,29250
2/8/2021,29300,29800,30400,29300
3/8/2021,29800,29400,29800,29250
4/8/2021,30650,29800,30800,29650
5/8/2021,31050,30600,31250,30300
6/8/2021,30300,31000,31150,30300
9/8/2021,30700,30300,30800,30100
10/8/2021,30600,30850,31000,30300
11/8/2021,30400,30500,30850,30350
12/8/2021,29600,30300,30500,29600
13/08/2021,29700,29600,29800,29150
16/08/2021,30300,29850,30400,29400
17/08/2021,30150,30300,30600,30000
18/08/2021,29950,30000,30150,29550
19/08/2021,29950,29800,30050,29600
20/08/2021,28300,29800,29900,28000
23/08/2021,27000,28200,28500,27000
24/08/2021,27250,26900,27850,26650
25/08/2021,27350,27350,27550,27100
26/08/2021,27100,27500,27550,26850
27/08/2021,27300,27000,27300,26550
30/08/2021,27900,27350,27950,27200
31/08/2021,27350,28000,28000,27300
1/9/2021,27200,27200,27500,27200
6/9/2021,27550,27200,27850,27100
7/9/2021,27900,27750,28350,27550
8/9/2021,27300,27900,28100,27300
9/9/2021,27350,27150,27500,27100
10/9/2021,27200,27500,27600,27150
13/09/2021,26900,27250,27300,26800
14/09/2021,26650,26900,27200,26650
15/09/2021,26600,26650,26900,26550
16/09/2021,26750,26900,26950,26600
17/09/2021,26800,26900,27100,26700
20/09/2021,27100,27000,27500,26900
21/09/2021,26800,26850,27050,26500
22/09/2021,26700,26800,26850,26550
23/09/2021,26600,26750,27000,26600
24/09/2021,26750,26700,27200,26600
27/09/2021,26500,27000,27100,26500
28/09/2021,26550,26350,26600,26200
29/09/2021,25800,26500,26550,25700
30/09/2021,25700,25850,26150,25700
1/10/2021,24700,25650,25650,24500
4/10/2021,24300,24500,24800,24050
5/10/2021,25750,24400,25750,24400
6/10/2021,25500,25800,25800,25450
7/10/2021,25500,25500,25750,24900
8/10/2021,25700,25600,26000,25300
11/10/2021,26500,25900,26600,25900
12/10/2021,26600,26750,26800,26350
13/10/2021,26250,26700,26750,26200
14/10/2021,26400,26200,26700,26200
15/10/2021,26850,26500,27200,26400
18/10/2021,26900,27000,27200,26850
19/10/2021,26200,26900,26950,26200
20/10/2021,26300,26400,26750,25650
21/10/2021,26100,26500,26600,26000
22/10/2021,26200,26400,26400,26000
25/10/2021,25600,26000,26250,25600
26/10/2021,25600,25600,25750,25200
27/10/2021,26500,25750,26650,25650
28/10/2021,26700,26600,26700,26000
29/10/2021,26600,26600,26700,26200
1/11/2021,26600,26600,27050,26200
2/11/2021,26650,26700,26800,26500
3/11/2021,27900,26800,28450,26500
4/11/2021,27450,27900,28150,27450
5/11/2021,27650,27500,27750,27350
8/11/2021,27850,27650,28000,27300
9/11/2021,28100,28050,28800,27300
10/11/2021,28450,28200,28750,28150
11/11/2021,27700,28550,28600,27700
12/11/2021,28100,27450,28450,27300
15/11/2021,27950,28400,28400,27650
16/11/2021,28050,28000,28800,27700
17/11/2021,28000,28100,28300,27600
18/11/2021,27650,28150,28150,27550
19/11/2021,27900,27700,28450,27000
22/11/2021,28800,28000,29500,27900
23/11/2021,28500,28950,28950,28300
24/11/2021,30450,28500,30450,28350
25/11/2021,30650,31000,31250,30350
26/11/2021,30850,30700,31450,30500
29/11/2021,29900,30100,30600,29800
30/11/2021,28900,30250,30300,28650
1/12/2021,29900,28800,29900,28750
2/12/2021,29300,29900,30050,29300
3/12/2021,28000,29400,29550,28000
6/12/2021,27000,28000,28400,26400
7/12/2021,28050,27300,28100,26900
8/12/2021,28600,28050,28800,27800
9/12/2021,28850,28500,28900,28400
10/12/2021,28600,28850,29050,28400
13/12/2021,28650,28600,29000,28350
14/12/2021,28100,28550,28800,28100
15/12/2021,28350,28100,28900,27700
16/12/2021,28600,28700,28700,28000
17/12/2021,28300,28650,28700,28000
20/12/2021,28650,28250,28700,28150
21/12/2021,28200,28650,28800,28200
22/12/2021,27650,28450,28600,27200
23/12/2021,27400,27600,27800,26900
24/12/2021,28200,27400,28250,27400
27/12/2021,28100,28450,28450,27850
28/12/2021,30050,28250,30050,28050
29/12/2021,29500,30500,30800,29500
30/12/2021,30500,29600,31050,29600
31/12/2021,31500,30700,32300,30500
4/1/2022,32100,32000,32850,31700
5/1/2022,32550,31900,32800,31700
6/1/2022,32700,32500,33900,32400
7/1/2022,31950,32700,32950,31950
10/1/2022,31600,31950,32950,31150
11/1/2022,32450,31800,33300,31700
12/1/2022,34700,32500,34700,31650
13/01/2022,34300,35400,36200,34300
14/01/2022,35000,33800,35450,33750
17/01/2022,32600,35500,35600,32600
18/01/2022,33900,32600,34500,32550
19/01/2022,32900,34300,34400,32700
20/01/2022,33800,32600,33900,31800
21/01/2022,34600,33600,35250,33350
24/01/2022,33300,34400,34950,33000
25/01/2022,34700,33100,34800,33000
26/01/2022,35550,35000,36500,34800
27/01/2022,35400,35300,35950,34750
28/01/2022,35550,35200,36200,35200
7/2/2022,35600,36000,36300,35450
8/2/2022,35850,35350,36200,35350
9/2/2022,35050,36000,36700,35000
10/2/2022,34750,35000,35250,34200
11/2/2022,35300,34750,35350,34450
14/02/2022,32850,34850,35000,32850
15/02/2022,33500,33100,33900,32700
16/02/2022,33600,33750,34100,33100
17/02/2022,33900,33600,34250,33450
18/02/2022,33350,33600,33800,33200
21/02/2022,33200,33350,33550,32800
22/02/2022,33700,32900,33700,32800
23/02/2022,33600,33900,33950,33600
24/02/2022,32900,33400,33700,32000
25/02/2022,33000,33100,33550,32900
28/02/2022,32850,33000,33350,32800
1/3/2022,32650,33000,33000,32650
2/3/2022,31250,32500,32550,31100
3/3/2022,31850,31550,31900,31100
4/3/2022,32000,31850,32550,31500
7/3/2022,31500,31200,32000,31200
8/3/2022,30850,31050,31650,30650
9/3/2022,31100,31000,31300,30500
10/3/2022,31550,31750,32000,31550
11/3/2022,32050,31400,32450,31300
14/03/2022,32500,32050,32600,31850
15/03/2022,32700,32500,33150,32350
16/03/2022,32900,32800,32950,32550
17/03/2022,32800,33000,33150,32650
18/03/2022,33100,32800,33250,32550
21/03/2022,33100,33100,33450,32800
22/03/2022,34050,33350,34200,33350
23/03/2022,34000,34000,34300,33650
24/03/2022,33650,34000,34050,33600
25/03/2022,33650,33600,34000,33600
28/03/2022,31850,33500,33550,31800
29/03/2022,32300,32100,32350,31750
30/03/2022,32250,31950,32650,31500
31/03/2022,31700,32100,32450,31700
1/4/2022,32200,31650,32250,31550
4/4/2022,32200,32500,32700,32150
5/4/2022,31800,32050,32300,31800
6/4/2022,32350,31800,32600,31550
7/4/2022,31900,32400,32900,31750
8/4/2022,31000,31900,31950,30900
12/4/2022,30800,31150,31450,30500
13/04/2022,31350,31000,31500,30700
14/04/2022,30800,31350,31500,30750
15/04/2022,30100,30700,31000,30100
18/04/2022,29000,30100,30200,29000
19/04/2022,27500,29100,29400,27500
20/04/2022,27550,27800,28200,27450
21/04/2022,27650,27400,28350,27100
22/04/2022,28800,28100,29000,27800
25/04/2022,26800,28800,29000,26800
26/04/2022,27400,26600,27500,25650
27/04/2022,28200,27000,28200,26450
28/04/2022,27700,27850,28200,27400
29/04/2022,27700,27550,28150,27400
4/5/2022,26750,27700,27700,26700
5/5/2022,26900,27000,27050,25900
6/5/2022,25500,26000,26600,25400
9/5/2022,23750,25100,25100,23750
10/5/2022,23900,22550,23900,22550
11/5/2022,23550,23900,24000,22800
12/5/2022,21950,23450,23450,21950
13/05/2022,20450,21500,21950,20450
16/05/2022,19050,21100,21300,19050
17/05/2022,20350,18700,20350,18600
18/05/2022,21750,20950,21750,20700
19/05/2022,21750,21300,22400,21250
20/05/2022,21600,21750,22050,21500
23/05/2022,20350,21750,21750,20150
24/05/2022,21750,20350,21750,20100
25/05/2022,22750,22000,22850,22000
26/05/2022,22400,22600,22750,22300
27/05/2022,22250,22500,22700,22100
30/05/2022,22800,22450,23000,22250
31/05/2022,22350,22600,22800,22350
1/6/2022,22250,22300,22600,22000
2/6/2022,21550,22350,22400,21450
3/6/2022,21150,21500,21700,20950
6/6/2022,20500,21150,21400,20500
7/6/2022,20200,20500,20550,19800
8/6/2022,21600,20400,21600,20300
9/6/2022,22300,22250,22350,21700
