Date,Price,Open,High,Low,Vol.,Change %
2/15/2016,2854.30,"2,854.30","2,854.30","2,755.90",46.47K,0.00%
2/16/2016,2854.30,"2,854.30","2,952.70","2,755.90",123.94K,0.00%
2/17/2016,2854.30,"2,755.90","2,854.30","2,755.90",53.55K,0.00%
2/18/2016,2854.30,"2,755.90","2,952.70","2,755.90",120.69K,0.00%
2/19/2016,2854.30,"2,854.30","2,854.30","2,755.90",81.85K,0.00%
2/22/2016,2952.70,"2,854.30","2,952.70","2,854.30",87.80K,3.45%
2/23/2016,2854.30,"2,952.70","3,051.10","2,854.30",153.57K,-3.33%
2/24/2016,2854.30,"2,854.30","2,952.70","2,854.30",80.04K,0.00%
2/25/2016,2952.70,"2,854.30","2,952.70","2,854.30",69.28K,3.45%
2/26/2016,2854.30,"2,854.30","2,952.70","2,854.30",57.52K,-3.33%
2/29/2016,2854.30,"2,854.30","2,952.70","2,854.30",68.14K,0.00%
3/1/2016,2952.70,"2,952.70","2,952.70","2,854.30",39.27K,3.45%
3/2/2016,2952.70,"2,952.70","3,051.10","2,854.30",130.21K,0.00%
3/3/2016,3051.10,"2,952.70","3,051.10","2,854.30",61.59K,3.33%
3/4/2016,2952.70,"2,952.70","3,051.10","2,952.70",94.25K,-3.23%
3/7/2016,2952.70,"2,952.70","3,051.10","2,952.70",305.10K,0.00%
3/8/2016,3051.10,"2,952.70","3,051.10","2,952.70",126.11K,3.33%
3/9/2016,3149.50,"3,051.10","3,149.50","2,952.70",213.12K,3.23%
3/10/2016,3149.50,"3,149.50","3,248.00","3,051.10",247.36K,0.00%
3/11/2016,3149.50,"3,149.50","3,149.50","3,051.10",72.43K,0.00%
3/14/2016,3149.50,"3,149.50","3,248.00","3,051.10",95.76K,0.00%
3/15/2016,3051.10,"2,952.70","3,149.50","2,952.70",231.22K,-3.12%
3/16/2016,3149.50,"3,149.50","3,248.00","3,051.10",303.18K,3.23%
3/17/2016,3346.40,"3,346.40","3,346.40","3,346.40",816.42K,6.25%
3/18/2016,3248.00,"3,346.40","3,444.80","3,248.00",300.98K,-2.94%
3/21/2016,3248.00,"3,346.40","3,346.40","3,149.50",271.55K,0.00%
3/22/2016,3149.50,"3,248.00","3,248.00","3,051.10",478.35K,-3.03%
3/23/2016,3248.00,"3,149.50","3,248.00","3,051.10",235.02K,3.13%
3/24/2016,3149.50,"3,248.00","3,248.00","3,149.50",118.37K,-3.03%
3/25/2016,3149.50,"3,149.50","3,248.00","3,051.10",164.64K,0.00%
3/28/2016,3051.10,"3,051.10","3,149.50","3,051.10",132.59K,-3.12%
3/29/2016,3149.50,"3,051.10","3,149.50","3,051.10",61.26K,3.23%
3/30/2016,3051.10,"3,051.10","3,149.50","3,051.10",239.72K,-3.12%
3/31/2016,3149.50,"3,051.10","3,248.00","3,051.10",468.26K,3.23%
