Date,Price,Open,High,Low,Vol.,Change %
10/8/2020,31441.40,31597.10,31636.00,30974.50,2.38M,-0.12%
10/9/2020,31402.50,31363.60,31519.20,31207.90,1.07M,-0.12%
10/12/2020,31869.50,32375.30,32647.70,31674.90,4.44M,1.49%
10/13/2020,32102.90,31908.40,32569.90,31597.10,2.49M,0.73%
10/14/2020,33387.10,32531.00,33426.00,32297.50,8.58M,4.00%
10/15/2020,32881.20,33815.10,33815.10,32842.30,3.72M,-1.52%
10/16/2020,32842.30,32881.20,33620.50,32531.00,3.03M,-0.12%
10/19/2020,32608.80,33036.80,33036.80,32453.10,3.38M,-0.71%
10/20/2020,32686.60,32297.50,33075.70,32297.50,2.42M,0.24%
10/21/2020,32959.00,32997.90,33854.00,32803.40,3.80M,0.83%
10/22/2020,33426.00,32920.10,33426.00,32608.80,2.18M,1.42%
10/23/2020,33309.20,33776.20,33776.20,33309.20,2.44M,-0.35%
10/26/2020,31908.40,33075.70,33464.90,31908.40,4.25M,-4.21%
10/27/2020,31674.90,31908.40,32297.50,31674.90,3.32M,-0.73%
10/28/2020,30585.30,31519.20,31674.90,30585.30,3.65M,-3.44%
10/29/2020,30079.50,30196.20,30741.00,29923.80,3.55M,-1.65%
10/30/2020,29962.70,30351.90,30507.50,29690.30,2.11M,-0.39%
11/2/2020,30274.00,29962.70,30429.70,29962.70,1.36M,1.04%
11/3/2020,30663.20,30351.90,30741.00,30351.90,1.30M,1.29%
11/4/2020,30935.60,30663.20,31207.90,30624.30,1.36M,0.89%
11/5/2020,30390.80,30935.60,30935.60,30390.80,1.61M,-1.76%
11/6/2020,30390.80,30702.10,30702.10,30235.10,813.30K,0.00%
11/9/2020,30546.40,30702.10,30702.10,30429.70,1.49M,0.51%
11/10/2020,30663.20,31013.40,31130.10,30663.20,1.71M,0.38%
11/11/2020,30663.20,30663.20,30857.70,30468.60,910.40K,0.00%
11/12/2020,30818.80,30741.00,30974.50,30663.20,1.42M,0.51%
11/13/2020,31363.60,30896.60,31363.60,30857.70,2.31M,1.77%
11/16/2020,31052.30,31402.50,31752.70,31052.30,2.44M,-0.99%
11/17/2020,31363.60,31130.10,31363.60,30935.60,1.83M,1.00%
11/18/2020,31169.00,31363.60,31402.50,31130.10,1.98M,-0.62%
11/19/2020,31441.40,31207.90,31752.70,31207.90,2.25M,0.87%
11/20/2020,32064.00,31674.90,32102.90,31674.90,3.17M,1.98%
11/23/2020,31986.20,32297.50,32297.50,31558.20,1.65M,-0.24%
11/24/2020,31674.90,31947.30,31986.20,31441.40,2.46M,-0.97%
11/25/2020,32141.80,31908.40,32258.60,31558.20,3.49M,1.47%
11/26/2020,33153.60,32141.80,33153.60,31908.40,5.48M,3.15%
11/27/2020,33036.80,33309.20,33348.10,32725.50,2.92M,-0.35%
11/30/2020,32453.10,33036.80,33075.70,32453.10,2.15M,-1.77%
12/1/2020,32453.10,31908.40,32531.00,31752.70,3.66M,0.00%
12/2/2020,32297.50,32492.10,32686.60,32219.70,2.31M,-0.48%
12/3/2020,32375.30,32336.40,32608.80,32219.70,2.31M,0.24%
12/4/2020,32414.20,32375.30,32920.10,32297.50,3.22M,0.12%
12/7/2020,33464.90,32686.60,33620.50,32569.90,5.18M,3.24%
12/8/2020,33231.40,33698.40,33698.40,33036.80,2.71M,-0.70%
12/9/2020,34087.50,33387.10,34243.10,33270.30,4.63M,2.58%
12/10/2020,34204.20,34087.50,34865.70,34009.70,4.82M,0.34%
12/11/2020,35644.00,34165.30,35644.00,33931.80,5.74M,4.21%
12/14/2020,36188.80,35916.40,36227.70,35682.90,3.69M,1.53%
12/15/2020,35877.50,35916.40,36577.90,35682.90,4.30M,-0.86%
12/16/2020,36889.20,35877.50,36928.10,35877.50,3.89M,2.82%
12/17/2020,36110.90,36422.20,37044.80,36110.90,4.90M,-2.11%
