Date,Price,Open,High,Low,Vol.,Change %
7/14/2021,27400.00,28700.00,28700.00,27000.00,25.27M,-4.53%
7/15/2021,28800.00,27100.00,28800.00,27100.00,25.37M,5.11%
7/16/2021,28450.00,28900.00,29100.00,28400.00,19.47M,-1.22%
7/19/2021,27500.00,27500.00,27950.00,26700.00,38.56M,-3.34%
7/20/2021,28100.00,27800.00,28100.00,27200.00,23.88M,2.18%
7/21/2021,27850.00,28300.00,28400.00,27800.00,14.14M,-0.89%
7/22/2021,28000.00,27850.00,28150.00,27650.00,16.62M,0.54%
7/23/2021,28700.00,28300.00,29950.00,27900.00,63.58M,2.50%
7/26/2021,28700.00,28900.00,29300.00,28350.00,15.10M,0.00%
7/27/2021,29100.00,29000.00,29750.00,28700.00,29.76M,1.39%
7/28/2021,28900.00,28900.00,29450.00,28700.00,17.53M,-0.69%
7/29/2021,29300.00,29100.00,29400.00,29000.00,16.10M,1.38%
7/30/2021,29900.00,29400.00,30350.00,29250.00,32.25M,2.05%
8/2/2021,29300.00,29800.00,30400.00,29300.00,26.51M,-2.01%
8/3/2021,29800.00,29400.00,29800.00,29250.00,26.54M,1.71%
8/4/2021,30650.00,29800.00,30800.00,29650.00,48.35M,2.85%
8/5/2021,31050.00,30600.00,31250.00,30300.00,30.72M,1.31%
8/6/2021,30300.00,31000.00,31150.00,30300.00,30.92M,-2.42%
8/9/2021,30700.00,30300.00,30800.00,30100.00,20.91M,1.32%
8/10/2021,30600.00,30850.00,31000.00,30300.00,24.37M,-0.33%
8/11/2021,30400.00,30500.00,30850.00,30350.00,26.16M,-0.65%
8/12/2021,29600.00,30300.00,30500.00,29600.00,27.94M,-2.63%
8/13/2021,29700.00,29600.00,29800.00,29150.00,22.96M,0.34%
8/16/2021,30300.00,29850.00,30400.00,29400.00,24.10M,2.02%
8/17/2021,30150.00,30300.00,30600.00,30000.00,20.33M,-0.50%
8/18/2021,29950.00,30000.00,30150.00,29550.00,22.20M,-0.66%
8/19/2021,29950.00,29800.00,30050.00,29600.00,16.70M,0.00%
8/20/2021,28300.00,29800.00,29900.00,28000.00,42.11M,-5.51%
8/23/2021,27000.00,28200.00,28500.00,27000.00,29.89M,-4.59%
8/24/2021,27250.00,26900.00,27850.00,26650.00,25.86M,0.93%
8/25/2021,27350.00,27350.00,27550.00,27100.00,8.16M,0.37%
8/26/2021,27100.00,27500.00,27550.00,26850.00,13.17M,-0.91%
8/27/2021,27300.00,27000.00,27300.00,26550.00,16.48M,0.74%
8/30/2021,27900.00,27350.00,27950.00,27200.00,11.73M,2.20%
8/31/2021,27350.00,28000.00,28000.00,27300.00,11.98M,-1.97%
9/1/2021,27200.00,27200.00,27500.00,27200.00,10.29M,-0.55%
9/6/2021,27550.00,27200.00,27850.00,27100.00,16.26M,1.29%
9/7/2021,27900.00,27750.00,28350.00,27550.00,13.78M,1.27%
9/8/2021,27300.00,27900.00,28100.00,27300.00,9.67M,-2.15%
9/9/2021,27350.00,27150.00,27500.00,27100.00,9.34M,0.18%
9/10/2021,27200.00,27500.00,27600.00,27150.00,10.70M,-0.55%
9/13/2021,26900.00,27250.00,27300.00,26800.00,10.65M,-1.10%
9/14/2021,26650.00,26900.00,27200.00,26650.00,12.64M,-0.93%
9/15/2021,26600.00,26650.00,26900.00,26550.00,10.16M,-0.19%
9/16/2021,26750.00,26900.00,26950.00,26600.00,5.19M,0.56%
9/17/2021,26800.00,26900.00,27100.00,26700.00,16.37M,0.19%
9/20/2021,27100.00,27000.00,27500.00,26900.00,17.46M,1.12%
9/21/2021,26800.00,26850.00,27050.00,26500.00,14.21M,-1.11%
9/22/2021,26700.00,26800.00,26850.00,26550.00,8.39M,-0.37%
9/23/2021,26600.00,26750.00,27000.00,26600.00,12.78M,-0.37%
9/24/2021,26750.00,26700.00,27200.00,26600.00,13.85M,0.56%
9/27/2021,26500.00,27000.00,27100.00,26500.00,10.52M,-0.93%
9/28/2021,26550.00,26350.00,26600.00,26200.00,9.95M,0.19%
9/29/2021,25800.00,26500.00,26550.00,25700.00,19.93M,-2.82%
9/30/2021,25700.00,25850.00,26150.00,25700.00,10.10M,-0.39%
10/1/2021,24700.00,25650.00,25650.00,24500.00,24.15M,-3.89%
10/4/2021,24300.00,24500.00,24800.00,24050.00,15.74M,-1.62%
10/5/2021,25750.00,24400.00,25750.00,24400.00,13.48M,5.97%
10/6/2021,25500.00,25800.00,25800.00,25450.00,11.70M,-0.97%
10/7/2021,25500.00,25500.00,25750.00,24900.00,10.02M,0.00%
10/8/2021,25700.00,25600.00,26000.00,25300.00,9.33M,0.78%
10/11/2021,26500.00,25900.00,26600.00,25900.00,16.46M,3.11%
10/12/2021,26600.00,26750.00,26800.00,26350.00,11.68M,0.38%
10/13/2021,26250.00,26700.00,26750.00,26200.00,9.60M,-1.32%
10/14/2021,26400.00,26200.00,26700.00,26200.00,8.76M,0.57%
10/15/2021,26850.00,26500.00,27200.00,26400.00,18.82M,1.70%
10/18/2021,26900.00,27000.00,27200.00,26850.00,14.77M,0.19%
10/19/2021,26200.00,26900.00,26950.00,26200.00,8.32M,-2.60%
10/20/2021,26300.00,26400.00,26750.00,25650.00,14.90M,0.38%
10/21/2021,26100.00,26500.00,26600.00,26000.00,8.67M,-0.76%
10/22/2021,26200.00,26400.00,26400.00,26000.00,6.24M,0.38%
10/25/2021,25600.00,26000.00,26250.00,25600.00,15.09M,-2.29%
10/26/2021,25600.00,25600.00,25750.00,25200.00,10.16M,0.00%
10/27/2021,26500.00,25750.00,26650.00,25650.00,18.10M,3.52%
10/28/2021,26700.00,26600.00,26700.00,26000.00,11.06M,0.75%
10/29/2021,26600.00,26600.00,26700.00,26200.00,10.00M,-0.37%
11/1/2021,26600.00,26600.00,27050.00,26200.00,14.69M,0.00%
11/2/2021,26650.00,26700.00,26800.00,26500.00,9.86M,0.19%
11/3/2021,27900.00,26800.00,28450.00,26500.00,41.00M,4.69%
11/4/2021,27450.00,27900.00,28150.00,27450.00,13.51M,-1.61%
11/5/2021,27650.00,27500.00,27750.00,27350.00,9.44M,0.73%
11/8/2021,27850.00,27650.00,28000.00,27300.00,22.64M,0.72%
11/9/2021,28100.00,28050.00,28800.00,27300.00,26.35M,0.90%
