"Date","Price","Open","High","Low","Vol.","Change %"
"10/13/2022","224.74","223.54","224.94","222.91","32.69K","0.59%"
"10/12/2022","223.43","218.45","225.09","215.84","50.73K","2.13%"
"10/11/2022","218.78","229.62","230.19","218.74","73.87K","-4.82%"
"10/10/2022","229.85","226.09","230.24","222.21","59.48K","1.66%"
"10/07/2022","226.09","235.13","235.25","222.92","83.77K","-3.84%"
"10/06/2022","235.13","242.00","243.44","233.66","50.76K","-2.89%"
"10/05/2022","242.12","235.58","242.58","234.35","48.96K","2.76%"
"10/04/2022","235.61","238.13","241.82","235.01","56.10K","-1.07%"
"10/03/2022","238.17","249.35","250.08","238.16","60.13K","-4.83%"
"09/30/2022","250.25","249.41","250.25","241.50","74.09K","0.34%"
"09/29/2022","249.41","252.34","255.92","249.25","50.66K","-1.17%"
"09/28/2022","252.35","255.52","255.66","251.99","61.47K","-1.24%"
"09/27/2022","255.52","255.68","257.00","253.88","45.85K","-0.06%"
"09/26/2022","255.68","263.42","264.37","251.62","82.32K","-3.31%"
"09/23/2022","264.44","264.62","268.13","264.34","56.08K","-0.45%"
"09/22/2022","265.64","264.84","265.64","260.92","56.74K","0.21%"
"09/21/2022","265.09","266.91","266.98","263.48","41.20K","-0.68%"
"09/20/2022","266.91","264.22","267.67","262.78","56.35K","1.01%"
"09/19/2022","264.25","273.03","275.06","263.09","84.46K","-3.16%"
"09/16/2022","272.88","278.25","280.35","272.82","76.42K","-2.43%"
"09/15/2022","279.69","277.98","281.18","277.94","50.63K","0.10%"
"09/14/2022","279.42","281.23","281.24","276.45","71.13K","-0.77%"
"09/13/2022","281.59","283.11","284.50","279.57","54.71K","-0.53%"
"09/12/2022","283.08","284.64","286.79","282.93","51.31K","-0.54%"
"09/09/2022","284.63","281.88","284.70","278.20","68.60K","0.88%"
"09/08/2022","282.15","284.05","285.95","281.48","79.74K","-0.67%"
"09/07/2022","284.05","293.27","293.29","284.05","100.65K","-3.14%"
"09/06/2022","293.27","292.82","294.67","292.58","67.41K","0.15%"
"09/05/2022","292.82","291.92","294.55","290.26","62.65K","0.31%"
"08/31/2022","291.92","293.86","294.03","291.56","66.22K","-0.66%"
"08/30/2022","293.86","295.54","297.88","293.52","66.15K","-0.57%"
"08/29/2022","295.54","299.50","299.50","288.94","127.27K","-1.32%"
"08/26/2022","299.50","301.86","302.99","298.13","91.89K","-0.78%"
"08/25/2022","301.86","301.34","302.70","301.17","84.01K","0.19%"
"08/24/2022","301.30","298.83","301.32","298.83","73.64K","0.72%"
"08/23/2022","299.14","294.73","299.14","292.61","89.54K","1.50%"
"08/22/2022","294.73","296.50","297.79","292.73","102.80K","-1.08%"
"08/19/2022","297.94","301.19","302.04","297.33","78.59K","-1.08%"
"08/18/2022","301.19","302.59","302.71","299.26","71.57K","-0.46%"
"08/17/2022","302.59","304.70","305.20","301.05","95.04K","-0.14%"
"08/16/2022","303.02","303.77","304.53","302.40","73.81K","-0.31%"
"08/15/2022","303.97","303.42","307.83","302.96","77.79K","0.18%"
"08/12/2022","303.42","300.18","303.51","299.81","68.87K","1.08%"
"08/11/2022","300.18","303.61","307.57","299.48","128.18K","-1.11%"
"08/10/2022","303.54","301.65","304.22","300.50","92.58K","0.71%"
"08/09/2022","301.41","301.31","302.72","300.01","96.90K","0.03%"
"08/08/2022","301.33","299.90","302.48","299.79","93.88K","0.48%"
"08/05/2022","299.90","297.73","300.26","296.44","91.27K","0.73%"
"08/04/2022","297.73","298.11","300.28","296.89","91.57K","-0.13%"
"08/03/2022","298.11","295.84","298.11","295.17","85.23K","0.77%"
"08/02/2022","295.84","294.62","297.62","293.99","106.78K","0.41%"
"08/01/2022","294.62","288.61","294.62","287.68","79.72K","2.08%"
